F420,CN(C)C(=O)C=1C=CN=C(N)C1
F421,CN(C)C(=O)C=1C=NNC1
F422,CN(C)C(=O)CN1C=C(N)C=N1
F423,CN(C)C(=O)CN1C=CC=N1
F424,CN(C)C(=O)CN1C=NC(N)=N1
F425,CN(C)C(=O)CN1CCC(N)CC1
F426,CN(C)C(=O)CN1N=CC=2C=CC=CC12
F427,CN(C)C(=O)CNC(=O)C=1SC=NC1C
F428,CN(C)C(=O)CNC=1C=CC=CC1
F429,CN(C)C(=O)COC=1C=CC=C(F)C1
F430,CN(C)C(=O)COC=1C=CC=CC1C
F431,CN(C)C(=O)N1CCN(CC1)C(=O)N(C)C
F432,CN(C)C(=O)N1CCNCC1
F433,CN(C)C(=O)N1CCOCC21CCOC2
F434,CN(C)C(=O)NC=1C=CC(=CC1)S(=O)(=O)N
F435,CN(C)C(=O)OCCN1C=CN=C1
F436,CN(C)C1(CN)CCOCC1
F437,CN(C)C1=NOC(=N1)C2CCNCC2
F438,CN(C)C=1C=C(CNC(=O)C)C=CN1
F439,CN(C)C=1C=CC(CNN2C=NN=C2)=CC1
F440,CN(C)C=1C=CN=CC1
F441,CN(C)CC(=O)N1CCCC1C(C)(C)O
F442,CN(C)CC1=NC(=NO1)C2(N)CCCC2
F443,CN(C)CC=1C=CC(C#N)=CC1
F444,CN(C)S(=O)(=O)C1=CNC=N1
F445,CN(C)S(=O)(=O)C=1C(C)=NNC1C
F446,CN(C)S(=O)(=O)C=1C=CC=NC1
F447,CN(C)S(=O)(=O)C=1C=NNC1
F448,CN(C)S(=O)(=O)N1CCN(C)CC1
F449,CN(C)S(=O)(=O)N1CCOCC1
F450,CN(C)S(=O)(=O)NC1CCCCNC1=O
F451,CN(C1CC(O)C1)C=2C=C(C)N=C(C)N2
F452,CN(C1CC1)C(=O)CN2C=C(Br)C=N2
F453,CN(C1CCC1)C=2C=CC(=NN2)C(=O)N
F454,CN(C1CCCCCC1)S(=O)(=O)C
F455,CN(C1CCOC1)C=2N=CC=CC2F
F456,CN(CC(=O)N)C=1SN=C(C)C1C#N
F457,CN(CC(=O)N1CCCCC1)S(=O)(=O)C
F458,CN(CC(=O)O)C(=O)C=1C=CC(F)=CC1
F459,CN(CC(=O)O)C(=O)C=1C=CC=CN1
F460,CN(CC1=CC=C(C)O1)CC=2C=CC=CC2
F461,CN(CC1CCOC1)C=2C=CN=CC2Cl
F462,CN(CC1CCOC1)C=2N=CN=CC2Cl
F463,CN(CC=1C=C(C)ON1)C(=O)NC2CC2
F464,CN(CC=1C=CC=C(F)C1)S(=O)(=O)N
F465,CN(CCC#N)S(=O)(=O)C=1C=CC(C)=CC1
F466,CN(CCO)C1CCCCC1
F467,CN(CCO)C=1C=CC=CN1
F468,CN(CCO)C=1N=CC(Cl)=CC1F
F469,CN(CCO)S(=O)(=O)C=1C=CC(N)=CC1
F470,CN1C=C(C(=O)N)C(=N1)C(F)F
F471,CN1C=C(CN2CCNCC2)C=N1
F472,CN1C=C(N)C(=N1)C(=O)NC2CCC2
F473,CN1C=C(OC=2N=CN=CC2Cl)C=N1
F474,CN1C=CC(=N1)C(=O)NC=2C=CC=C(C2)C(=O)O
F475,CN1C=CC(=N1)C(=O)NC[C@@H]2CCCO2
F476,CN1C=CC(NC(=O)CN2C=CC=N2)=N1
F477,CN1C=CC(NCC=2C=CC=CC2)=N1
F478,CN1C=CN=C1C2=NOC(=N2)C3CCC3
